"fecha","variable","valor usd oficial","porcentaje","total"
"2024-05-31","ITEC VENTAS","27012.2","3.4501","782947"
"2024-05-31","ITEC DEUDAS CLIENTES","10024.1","1.2803","782947"
"2024-05-31","ITEC ACTIVOS","832360","106.311","782947"
"2024-05-31","ITEC CUENTAS","-30185.8","-3.8554","782947"
"2024-05-31","EG TOTAL","1363430","100","1363430"
"2024-05-31","ITEC TOTAL","782947","100","782947"
"2024-06-28","EG GASTOS INFRAESTRUCTURA","0","0","1335060"
"2024-06-28","EG DEUDAS FISCALES","1143.5","0.0856516","1335060"
"2024-06-28","EG SUELDOS","0","0","1335060"
"2024-06-28","EG GASTOS","0","0","1335060"
"2024-06-28","EG TOTAL","1335060","100","1335060"
"2024-06-28","EG VENTAS","101289","7.58685","1335060"
"2024-06-28","EG CAJA","354.662","0.0265652","1335060"
"2024-06-28","EG CAJA USD","45265.8","3.39054","1335060"
"2024-06-28","ITEC DEUDAS CLIENTES","6284.75","0.797614","787944"
"2024-06-28","ITEC GASTOS INFRAESTRUCTURA","0","0","787944"
"2024-06-28","ITEC GASTOS","0","0","787944"
"2024-06-28","ITEC PASIVOS","52942.6","6.71908","787944"
"2024-06-28","ITEC CAJA","264.286","0.0335412","787944"
"2024-06-28","ITEC CUENTAS","-36837.3","-4.67511","787944"
"2024-06-28","EG CUENTAS","40298.8","3.0185","1335060"
"2024-06-28","ITEC COMPRAS","8289.61","1.05206","787944"
"2024-06-28","EG COMPRAS","105499","7.90219","1335060"
"2024-06-28","ITEC STOCK","824781","104.675","787944"
"2024-06-28","ITEC BANCO FUTURO","-1760.15","-0.223385","787944"
"2024-06-28","ITEC PEDIDOS PENDIENTES","0","0","787944"
"2024-06-28","ITEC DEUDAS PROVEEDORES","52942.6","6.71908","787944"
"2024-06-28","ITEC IMPUESTOS","0","0","787944"
"2024-06-28","ITEC CAJA USD","11316.5","1.4362","787944"
"2024-06-28","EG DEUDAS PROVEEDORES","106513","7.97814","1335060"
"2024-06-28","EG ACTIVOS","1441570","107.978","1335060"
"2024-06-28","EG PASIVOS","106513","7.97814","1335060"
"2024-06-28","ITEC VENTAS","13998.2","1.77655","787944"
"2024-06-28","ITEC SUELDOS","0","0","787944"
"2024-06-28","EG PEDIDOS PENDIENTES","22865.9","1.71272","1335060"
"2024-06-28","EG BANCO FUTURO","-11095.6","-0.831094","1335060"
"2024-06-28","EG IMPUESTOS","0","0","1335060"
"2024-06-28","ITEC DEUDAS FISCALES","5529.44","0.701755","787944"
"2024-06-28","ITEC SERVICIOS","0","0","787944"
"2024-06-28","ITEC ACTIVOS","840886","106.719","787944"
"2024-06-28","ITEC TOTAL","787944","100","787944"
"2024-06-28","EG DEUDAS CLIENTES","89421","6.6979","1335060"
"2024-06-28","EG SERVICIOS","0","0","1335060"
"2024-06-28","EG STOCK","1294760","96.9814","1335060"
"2024-07-31","ITEC DEUDAS FISCALES","11694.4","1.4477","807790"
"2024-07-31","ITEC CAJA USD","16592.1","2.05401","807790"
"2024-07-31","EG DEUDAS PROVEEDORES","137298","11.2307","1222520"
"2024-07-31","ITEC PEDIDOS PENDIENTES","0","0","807790"
"2024-07-31","ITEC TOTAL","807790","100","807790"
"2024-07-31","EG IMPUESTOS",NULL,"0","1222520"
"2024-07-31","ITEC GASTOS INFRAESTRUCTURA","0","0","807790"
"2024-07-31","ITEC GASTOS","0","0","807790"
"2024-07-31","ITEC ACTIVOS","841524","104.176","807790"
"2024-07-31","EG VENTAS","240131","19.6423","1222520"
"2024-07-31","EG DEUDAS CLIENTES","83841.3","6.85807","1222520"
"2024-07-31","EG SUELDOS",NULL,"0","1222520"
"2024-07-31","ITEC CUENTAS","-10119.9","-1.25279","807790"
"2024-07-31","EG GASTOS INFRAESTRUCTURA","0","0","1222520"
"2024-07-31","EG PASIVOS","137298","11.2307","1222520"
"2024-07-31","ITEC STOCK","817910","101.253","807790"
"2024-07-31","EG CUENTAS","46861","3.83314","1222520"
"2024-07-31","EG CAJA USD","66368.4","5.42882","1222520"
"2024-07-31","EG ACTIVOS","1359820","111.231","1222520"
"2024-07-31","EG TOTAL","1222520","100","1222520"
"2024-07-31","ITEC BANCO FUTURO","-5078.22","-0.628656","807790"
"2024-07-31","EG BANCO FUTURO","6566.08","0.537094","1222520"
"2024-07-31","EG SERVICIOS",NULL,"0","1222520"
"2024-07-31","ITEC IMPUESTOS",NULL,"0","807790"
"2024-07-31","ITEC SERVICIOS",NULL,"0","807790"
"2024-07-31","ITEC VENTAS","4116.87","0.509646","807790"
"2024-07-31","ITEC DEUDAS CLIENTES","6452.38","0.798769","807790"
"2024-07-31","ITEC SUELDOS",NULL,"0","807790"
"2024-07-31","EG STOCK","1175660","96.1669","1222520"
"2024-07-31","EG CAJA","4998.18","0.408842","1222520"
"2024-07-31","EG DEUDAS FISCALES","1177.05","0.0962806","1222520"
"2024-07-31","ITEC COMPRAS","10154.7","1.2571","807790"
"2024-07-31","ITEC CAJA","5647.74","0.699159","807790"
"2024-07-31","ITEC DEUDAS PROVEEDORES","33733.9","4.17607","807790"
"2024-07-31","ITEC PASIVOS","33733.9","4.17607","807790"
"2024-07-31","EG COMPRAS","130800","10.6992","1222520"
"2024-07-31","EG PEDIDOS PENDIENTES","22385","1.83105","1222520"
"2024-07-31","EG GASTOS","0","0","1222520"
"2024-09-30","EG SERVICIOS",NULL,"0","1284620"
"2024-09-30","ITEC CAJA","4628.72","0.619315","747393"
"2024-09-30","EG CUENTAS","22612.1","1.76022","1284620"
"2024-09-30","EG PEDIDOS PENDIENTES","21119.2","1.644","1284620"
"2024-09-30","EG CAJA","4740.83","0.369045","1284620"
